cve_ent,cve_mun,mes,numero_de_transacciones_en_cajeros_automaticos,numero_de_transacciones_en_tpv
5,5017,6,-18.153745430738176,13.717838481381062
5,5017,7,-27.153690872388015,21.421721013294537
5,5017,8,-30.721806972557154,17.378794893842198
5,5018,2,-18.042952676890177,-3.39502348390075
5,5018,3,-21.897302574990906,-0.4506668341461073
5,5018,4,-36.39470278731335,-24.876809244865704
5,5018,5,-33.038419515067915,-12.911307748583923
5,5018,6,-29.788103743539263,-6.832822124940807
5,5018,7,-21.451735387333482,-4.321988297939161
5,5018,8,-24.705344481553514,-1.557558896468858
5,5019,2,-55.184111951374646,1.5047021943573657
5,5019,3,-57.332673687186364,11.598746081504707
5,5019,4,-49.78443706268993,9.195402298850585
5,5019,5,-53.14156477489574,39.16405433646815
5,5019,6,-52.16623082903384,30.67920585161965
5,5019,7,-45.09859354017951,22.84221525600836
5,5019,8,-53.57269064951586,22.758620689655174
5,5020,2,-33.33483383064101,-3.689711275956209
5,5020,3,-32.374086840209905,4.66039765049775
5,5020,4,-33.748328017285736,-3.559183373318997
5,5020,5,-34.817110813869746,20.068205425180842
5,5020,6,-37.34887848544089,13.394736600207736
5,5020,7,-33.64865212470419,14.077710062598236
5,5020,8,-39.19706245498509,20.78702810026749
5,5021,2,3.6363636363636376,-0.4397537379067673
5,5021,3,-9.834710743801656,7.080035180299049
5,5021,4,16.528925619834702,-12.445030782761645
5,5021,5,24.297520661157,4.969217238346535
5,5021,6,22.975206611570222,29.3755496921724
5,5021,7,40.578512396694165,21.943711521547947
5,5021,8,32.0661157024793,25.94547053649958
5,5022,2,-43.84903447632501,-3.5823266312753455
5,5022,3,-47.66848354811626,4.819629645111401
5,5022,4,-51.86774524567879,1.0889102537307238
5,5022,5,-48.080280395005126,13.754545834552534
5,5022,6,-49.907379026347,5.003553066087041
5,5022,7,-45.517544677958874,1.168331730970218
5,5022,8,-47.56720018124392,6.920118714208123
5,5023,2,100.35155001597956,-18.867924528301884
5,5023,3,114.5413870246085,-7.924528301886791
5,5023,4,113.10322786832852,28.113207547169814
5,5023,5,150.4953659316075,23.867924528301888
5,5023,6,112.75167785234896,23.679245283018858
5,5023,7,176.35027165228502,13.018867924528287
5,5023,8,166.41099392777238,4.056603773584899
5,5024,2,-4.014519539770555,-2.8097758405977613
5,5024,3,-5.0002497627254066,32.87671232876712
5,5024,4,-11.312586376275869,11.927926525529253
5,5024,5,-3.8130442746057924,15.03735990037358
5,5024,6,-8.440315034050982,31.078767123287655
5,5024,7,-7.263100054947802,32.81444582814446
5,5024,8,-2.3844014852556716,37.274283935242856
